14,5,0
15,2,4
16,3,5
17,5,7
18,2,11
19,3,12
20,5,14
21,2,18
22,3,19
23,5,21
24,2,25
25,3,26
26,3,33
27,2,39
28,3,40
29,5,42
30,2,46
32,5,49
35,5,56
36,2,81
37,3,82
38,5,84
39,3,89
40,5,91
41,2,95
42,3,96
43,5,98
44,2,102
45,3,103
46,2,109
47,3,110
48,5,112
49,2,116
50,3,117
51,5,119
53,2,123
54,3,124
56,3,187
57,5,189
58,3,194
59,5,196
60,3,201
61,5,203
62,3,208
63,5,210
64,3,215
65,3,229
66,5,245
67,3,250
68,3,257
69,3,264
70,3,278
71,5,280
72,3,285
73,5,287
74,3,292
75,5,294
76,3,306
77,5,308
78,3,313
79,3,320
80,5,322
81,3,341
82,5,343
83,3,348
84,5,350
85,3,355
86,3,362
87,5,364
88,3,369
89,5,371
91,3,376
92,5,378
94,3,404
95,3,439
96,5,441
97,3,453
98,5,462
99,3,481
100,5,483
101,3,488
102,5,490
103,5,497
104,3,502
